Date_x,season,HomeTeam_x,AwayTeam_x,FTR,AvgH,AvgD,AvgA,Date_y,HomeTeam_y,AwayTeam_y,home_points_last5,home_gf_last5,home_ga_last5,home_rest_days,away_points_last5,away_gf_last5,away_ga_last5,away_rest_days
2015-11-01,2015/2016,Setubal,Arouca,D,,,,2015-11-01,Setubal,Arouca,8.0,8.0,8.0,7.0,4.0,4.0,6.0,7.0
2015-11-02,2015/2016,Pacos Ferreira,Guimaraes,A,,,,2015-11-02,Pacos Ferreira,Guimaraes,9.0,6.0,7.0,9.0,5.0,5.0,9.0,9.0
2015-11-06,2015/2016,Estoril,Academica,D,,,,2015-11-06,Estoril,Academica,7.0,5.0,5.0,6.0,5.0,3.0,5.0,5.0
2015-11-07,2015/2016,Guimaraes,Nacional,A,,,,2015-11-07,Guimaraes,Nacional,5.0,5.0,9.0,5.0,2.0,2.0,6.0,6.0
2015-11-08,2015/2016,Arouca,Sp Lisbon,A,,,,2015-11-08,Arouca,Sp Lisbon,5.0,3.0,3.0,7.0,13.0,10.0,1.0,8.0
2015-11-08,2015/2016,Benfica,Boavista,H,,,,2015-11-08,Benfica,Boavista,9.0,13.0,4.0,9.0,5.0,2.0,2.0,7.0
2015-11-08,2015/2016,Maritimo,Rio Ave,H,,,,2015-11-08,Maritimo,Rio Ave,6.0,3.0,8.0,7.0,13.0,8.0,2.0,7.0
2015-11-08,2015/2016,Moreirense,Pacos Ferreira,H,,,,2015-11-08,Moreirense,Pacos Ferreira,3.0,4.0,8.0,7.0,6.0,5.0,8.0,6.0
2015-11-08,2015/2016,Porto,Setubal,H,,,,2015-11-08,Porto,Setubal,11.0,10.0,3.0,14.0,9.0,6.0,3.0,7.0
2015-11-09,2015/2016,Belenenses,Tondela,H,,,,2015-11-09,Belenenses,Tondela,7.0,5.0,10.0,9.0,2.0,2.0,8.0,10.0
2015-11-09,2015/2016,Uniao Madeira,Sp Braga,A,,,,2015-11-09,Uniao Madeira,Sp Braga,3.0,1.0,3.0,14.0,11.0,10.0,1.0,9.0
2015-11-27,2015/2016,Nacional,Maritimo,H,,,,2015-11-27,Nacional,Maritimo,5.0,3.0,5.0,20.0,9.0,5.0,5.0,19.0
2015-11-28,2015/2016,Boavista,Guimaraes,A,,,,2015-11-28,Boavista,Guimaraes,2.0,0.0,4.0,20.0,4.0,3.0,8.0,21.0
2015-11-28,2015/2016,Setubal,Uniao Madeira,D,,,,2015-11-28,Setubal,Uniao Madeira,8.0,4.0,3.0,20.0,2.0,1.0,4.0,19.0
